"","2008","2013","2018"
"Total Stems",2,0,0
"New Stems (recruit rate)",NA,NA,NA
"Dead Stems",0,2,2
"Min DBH",11.2,Inf,Inf
"Max DBH",13.3,-Inf,-Inf
