"","2008","2013","2018"
"Total Stems",0,0,0
"New Stems (recruit rate)",NA,NA,NA
"Dead Stems",1,1,1
"Min DBH",Inf,Inf,Inf
"Max DBH",-Inf,-Inf,-Inf
